地点コード,地点,地点カナ,府県番号,区分,緯度_度,緯度_分,緯度,経度_度,経度_分,経度,標高,雨,風,気温,日照,積雪深,ed_y,ed_m,ed_d,観測終了日,備考1,備考2,備考3,備考4,備考5,観測所番号1,観測所番号2
0211,葛巻,クズマキ,33,A,40,2.3,40.0383,141,26.2,141.4367,390,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33186,33920
0212,袖山,ソデヤマ,33,A,40,1.5,40.0250,141,31.5,141.5250,1144,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0213,茶臼岳,チャウスダケ,33,A,39,56.7,39.9450,140,54.3,140.9050,1443,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0214,岩手松尾,イワテマツオ,33,A,39,57.1,39.9517,141,3.9,141.0650,275,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33226,33910
0215,岩手山,イワテヤマ,33,A,39,50.4,39.8400,140,57,140.9500,1403,Y,N,N,N,N,2005,10,3,2005/10/3,,,,,,,
0216,岩洞,ガンドウ,33,A,39,49.5,39.8250,141,22.5,141.3750,678,Y,N,N,N,N,2000,9,30,2000/9/30,,,,,,,
0217,大森山,オオモリヤマ,33,A,39,49.1,39.8183,141,31.1,141.5183,1073,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0218,岩泉,イワイズミ,33,A,39,50.8,39.8467,141,47.8,141.7967,105,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33326,33965
0219,駒ケ岳,コマガタケ,33,A,39,44,39.7333,140,47.5,140.7917,1003,Y,N,N,N,N,2005,4,20,2005/4/20,,,,,,,
0220,害鷹森,ガイタカモリ,33,A,39,42.5,39.7083,141,36.2,141.6033,1278,Y,N,N,N,N,2003,10,21,2003/10/21,,,,,,,
0221,雫石,シズクイシ,33,A,39,41.8,39.6967,140,58.5,140.9750,195,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33421,33925
47584,盛岡,モリオカ,33,S,39,41.9,39.6983,141,9.9,141.1650,155.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33431,33927
47585,宮古,ミヤコ,33,S,39,38.8,39.6467,141,57.9,141.9650,42.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33472,33933
0224,薬師岳,ヤクシダケ,33,A,39,31.7,39.5283,141,29.8,141.4967,1604,Y,N,N,N,N,2005,10,3,2005/10/3,,,,,,,
0225,黒森山,クロモリヤマ,33,A,39,29.7,39.4950,140,47.5,140.7917,644,Y,N,N,N,N,1993,8,1,1993/8/1,,,,,,,
0226,豊沢,トヨサワ,33,A,39,28.8,39.4800,140,58.1,140.9683,300,Y,N,N,N,N,9999,99,99,,1983年11月15日までの地点名「駒頭山」,,,,,33566,
0227,花巻,ハナマキ,33,A,39,25.7,39.4283,141,8.1,141.1350,90,Y,Y,Y,N,N,9999,99,99,,,,,,,33576,
0228,大迫,オオハサマ,33,A,39,28.2,39.4700,141,16.7,141.2783,150,Y,Y,Y,Y,N,9999,99,99,,,,,,,33581,
0229,湯田,ユダ,33,A,39,18.6,39.3100,140,46.6,140.7767,250,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33631,33935
0230,北上,キタカミ,33,A,39,17.3,39.2883,141,6.6,141.1100,61,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33716,33940
0231,遠野,トオノ,33,A,39,20.2,39.3367,141,32.3,141.5383,273,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33671,33930
0232,五葉山,ゴヨウサン,33,A,39,10.5,39.1750,141,39.8,141.6633,560,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0233,釜石,カマイシ,33,A,39,16.2,39.2700,141,52.7,141.8783,5,Y,Y,Y,Y,N,9999,99,99,,,,,,,33751,
0234,岳山,ダケヤマ,33,A,39,8,39.1333,140,52.6,140.8767,973,Y,N,N,N,N,2005,10,3,2005/10/3,,,,,,,
0235,若柳,ワカヤナギ,33,A,39,7.9,39.1317,141,3.8,141.0633,100,Y,Y,Y,Y,N,9999,99,99,,,,,,,33776,
0236,江刺,エサシ,33,A,39,11,39.1833,141,9.7,141.1617,42,Y,Y,Y,Y,N,9999,99,99,,,,,,,33781,
47512,大船渡,オオフナト,33,S,39,3.8,39.0633,141,42.8,141.7133,36.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33877,33947
0238,一関,イチノセキ,33,A,38,56,38.9333,141,7.5,141.1250,32,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33911,33950
0239,千厩,センマヤ,33,A,38,55.3,38.9217,141,19.8,141.3300,120,Y,Y,Y,Y,N,9999,99,99,,,,,,,33921,
0240,室根山,ムロネヤマ,33,A,38,58.2,38.9700,141,27,141.4500,883,Y,N,N,N,N,2005,10,3,2005/10/3,,,,,,,
1028,祭畤,マツルベ,33,A,39,0.6,39.0100,140,51.9,140.8650,350,Y,N,N,N,Y,9999,99,99,,,,,,,33831,33945
1032,好摩,コウマ,33,A,39,52.1,39.8683,141,10,141.1667,205,Y,Y,Y,Y,N,9999,99,99,,,,,,,33296,
1033,山田,ヤマダ,33,A,39,27,39.4500,141,57.4,141.9567,24,Y,Y,Y,Y,N,9999,99,99,,,,,,,33616,
1037,大野,オオノ,33,A,40,16.8,40.2800,141,40,141.6667,200,Y,N,N,N,N,9999,99,99,,,,,,,33086,
1045,衣川,コロモガワ,33,A,39,3,39.0500,141,2.7,141.0450,75,Y,N,N,N,N,9999,99,99,,,,,,,33841,
1078,薮川,ヤブカワ,33,A,39,47,39.7833,141,19.7,141.3283,680,Y,Y,Y,Y,N,9999,99,99,,2012年5月31日までの地点名「藪川」,,,,,33371,
1113,米里,ヨネサト,33,A,39,14,39.2333,141,18.6,141.3100,170,Y,N,N,N,N,9999,99,99,,,,,,,33726,
1118,沢内,サワウチ,33,A,39,28.8,39.4800,140,47.9,140.7983,327,Y,Y,Y,Y,N,9999,99,99,,,,,,,33561,
1120,荒屋,アラヤ,33,A,40,6.2,40.1033,141,3,141.0500,290,Y,Y,Y,Y,N,9999,99,99,,,,,,,33166,
1123,普代,フダイ,33,A,40,0.2,40.0033,141,53,141.8833,8,Y,Y,Y,Y,N,9999,99,99,,,,,,,33206,
1128,紫波,シワ,33,A,39,32.8,39.5467,141,7.6,141.1267,125,Y,Y,Y,Y,N,9999,99,99,,,,,,,33501,
1168,葛根田,カッコンダ,33,A,39,46.5,39.7750,140,56.7,140.9450,350,Y,N,N,N,N,9999,99,99,,,,,,,33351,
1206,住田,スミタ,33,A,39,8.5,39.1417,141,34.4,141.5733,80,Y,Y,Y,Y,N,9999,99,99,,,,,,,33801,
1212,小本,オモト,33,A,39,50.4,39.8400,141,57.3,141.9550,10,Y,Y,Y,Y,N,9999,99,99,,,,,,,33336,
1215,奥中山,オクナカヤマ,33,A,40,3.6,40.0600,141,13.5,141.2250,430,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33176,33915
1219,山形,ヤマガタ,33,A,40,8.9,40.1483,141,34.3,141.5717,290,Y,Y,Y,Y,N,9999,99,99,,,,,,,33136,
1224,川井,カワイ,33,A,39,35.9,39.5983,141,40.9,141.6817,192,Y,Y,Y,Y,N,9999,99,99,,,,,,,33526,
1225,門馬,カドマ,33,A,39,38,39.6333,141,26.2,141.4367,620,Y,Y,Y,Y,N,1993,10,7,1993/10/7,,,,,,,
1332,下戸鎖,シモトクサリ,33,A,40,5,40.0833,141,42.7,141.7117,239,Y,N,N,N,N,9999,99,99,,,,,,,33201,
1447,区界,クザカイ,33,A,39,39,39.6500,141,21.2,141.3533,760,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33441,33955
1508,大槌,オオツチ,33,A,39,26.3,39.4383,141,48.4,141.8067,120,Y,N,N,N,N,9999,99,99,,,,,,,33611,
1557,大東,ダイトウ,33,A,39,2.3,39.0383,141,17.8,141.2967,140,Y,N,N,N,N,9999,99,99,,,,,,,33856,
1558,金ヶ崎,カネガサキ,33,A,39,13.5,39.2250,141,0.9,141.0150,170,Y,N,N,N,N,9999,99,99,,,,,,,33711,
1560,滝沢,タキザワ,33,A,39,46.8,39.7800,141,5.8,141.0967,210,Y,N,N,N,N,9999,99,99,,,,,,,33361,
1563,附馬牛,ツキモウシ,33,A,39,27.4,39.4567,141,30.4,141.5067,440,Y,N,N,N,N,9999,99,99,,,,,,,33596,
1598,厳美,ゲンビ,33,A,38,59,38.9833,140,54.7,140.9117,230,Y,N,N,N,N,2008,9,2,2008/9/2,,,,,,,
1627,刈屋,カリヤ,33,A,39,38.5,39.6417,141,46.4,141.7733,140,Y,N,N,N,N,9999,99,99,,,,,,,33461,
1628,小鎚,コヅチ,33,A,39,21.6,39.3600,141,52.7,141.8783,10,Y,Y,Y,N,N,9999,99,99,,,,,,,33686,
1629,陸前高田,リクゼンタカタ,33,A,39,1.5,39.0250,141,37.8,141.6300,61,Y,Y,Y,N,N,9999,99,99,,,,,,,33871,
0241,栗駒山,クリコマヤマ,34,A,38,56.7,38.9450,140,48.2,140.8033,1100,Y,N,N,N,N,1979,10,30,1979/10/30,,,,,,,
0242,気仙沼,ケセンヌマ,34,A,38,54.5,38.9083,141,33.3,141.5550,62,Y,Y,Y,Y,N,9999,99,99,,,,,,,34026,
0243,川渡,カワタビ,34,A,38,44.6,38.7433,140,45.6,140.7600,170,Y,Y,Y,Y,Y,9999,99,99,,,,,,,34096,34900
0244,築館,ツキダテ,34,A,38,44.1,38.7350,141,0.3,141.0050,25,Y,Y,Y,Y,N,9999,99,99,,,,,,,34111,
0245,箕輪山,ミノワヤマ,34,A,38,39.8,38.6633,140,38.4,140.6400,680,Y,N,N,N,N,2005,10,12,2005/10/12,,,,,,,
0246,志津川,シヅガワ,34,A,38,40.9,38.6817,141,26.9,141.4483,39,Y,Y,Y,Y,N,9999,99,99,,,,,,,34186,
0247,古川,フルカワ,34,A,38,35.9,38.5983,140,54.7,140.9117,28,Y,Y,Y,Y,Y,9999,99,99,,,,,,,34216,34910
0248,大衡,オオヒラ,34,A,38,28.4,38.4733,140,53.3,140.8883,57,Y,Y,Y,Y,N,9999,99,99,,,,,,,34266,
0249,鹿島台,カシマダイ,34,A,38,27.6,38.4600,141,5.5,141.0917,3,Y,Y,Y,Y,N,9999,99,99,,,,,,,34276,
47592,石巻,イシノマキ,34,S,38,25.6,38.4267,141,17.9,141.2983,42.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,34292,34913
0251,新川,ニッカワ,34,A,38,18.2,38.3033,140,38.2,140.6367,265,Y,Y,Y,Y,Y,9999,99,99,,,,,,,34311,34915
0252,鷹巣山,タカノスヤマ,34,A,38,15.8,38.2633,140,35.5,140.5917,705,Y,N,N,N,N,1996,10,25,1996/10/25,,,,,,,
47590,仙台,センダイ,34,S,38,15.7,38.2617,140,53.8,140.8967,38.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,34392,34917
0254,川崎,カワサキ,34,A,38,10.7,38.1783,140,38.1,140.6350,200,Y,Y,Y,Y,N,2005,10,26,2005/10/26,,,,,,,
0255,不忘山,フボウヤマ,34,A,38,4.3,38.0717,140,30.1,140.5017,1050,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0256,白石,シロイシ,34,A,38,0.9,38.0150,140,36.7,140.6117,86,Y,Y,Y,Y,Y,9999,99,99,,,,,,,34461,34920
0257,亘理,ワタリ,34,A,38,1.5,38.0250,140,51.5,140.8583,4,Y,Y,Y,Y,N,9999,99,99,,,,,,,34471,
0985,雄勝,オガツ,34,A,38,31.3,38.5217,141,28.2,141.4700,5,Y,N,N,N,N,9999,99,99,,,,,,,34241,
1029,米山,ヨネヤマ,34,A,38,37.6,38.6267,141,11.3,141.1883,5,Y,Y,Y,Y,N,9999,99,99,,,,,,,34171,
1030,塩釜,シオガマ,34,A,38,20.3,38.3383,141,0.8,141.0133,105,Y,Y,Y,Y,N,9999,99,99,,,,,,,34331,
1126,駒ノ湯,コマノユ,34,A,38,54.8,38.9133,140,49.7,140.8283,525,Y,Y,Y,Y,Y,9999,99,99,,,,,,,34012,34906
1220,丸森,マルモリ,34,A,37,55.9,37.9317,140,46.7,140.7783,18,Y,Y,Y,Y,N,9999,99,99,,,,,,,34506,
1267,花山,ハナヤマ,34,A,38,46.4,38.7733,140,52,140.8667,150,Y,N,N,N,N,2001,9,27,2001/9/27,,,,,,,
1290,江ノ島,エノシマ,34,A,38,23.9,38.3983,141,35.8,141.5967,40,Y,Y,Y,Y,N,9999,99,99,,,,,,,34361,
1298,筆甫,ヒッポ,34,A,37,49.6,37.8267,140,43.7,140.7283,305,Y,N,N,N,N,9999,99,99,,,,,,,34526,
1365,泉ケ岳,イズミガダケ,34,A,38,24.4,38.4067,140,43.3,140.7217,630,Y,N,N,N,N,9999,99,99,,,,,,,34262,
1464,名取,ナトリ,34,A,38,8.3,38.1383,140,55,140.9167,2,Y,Y,Y,N,N,9999,99,99,,,,,,,34436,
1526,鴬沢,ウグイスザワ,34,A,38,48.3,38.8050,140,56.9,140.9483,33,Y,N,N,N,N,9999,99,99,,,,,,,34056,
1561,加美,カミ,34,A,38,34.3,38.5717,140,43.6,140.7267,195,Y,N,N,N,N,9999,99,99,,,,,,,34206,
1564,蔵王,ザオウ,34,A,38,7.6,38.1267,140,40.8,140.6800,112,Y,Y,Y,Y,N,9999,99,99,,,,,,,34462,
1597,栗駒深山,クリコマフカヤマ,34,A,38,51.8,38.8633,140,50.6,140.8433,550,Y,N,N,N,N,2008,10,22,2008/10/22,,,,,,,
1600,栗駒,クリコマ,34,A,38,56.4,38.9400,140,49,140.8167,850,N,N,N,N,Y,1997,4,28,1997/4/28,,,,,,,
1626,女川,オナガワ,34,A,38,27.2,38.4533,141,26.4,141.4400,35,Y,Y,Y,N,N,9999,99,99,,,,,,,34296,
1630,桃生,モノウ,34,A,38,33.6,38.5600,141,14.7,141.2450,5,Y,Y,Y,N,N,9999,99,99,,,,,,,34231,
1631,東松島,ヒガシマツシマ,34,A,38,25.6,38.4267,141,12.8,141.2133,4,Y,Y,Y,N,N,9999,99,99,,,,,,,34286,
1632,岩沼,イワヌマ,34,A,38,6.4,38.1067,140,52.6,140.8767,4,Y,N,N,N,N,9999,99,99,,,,,,,34431,
0258,鳥海山,チョウカイサン,35,A,39,4,39.0667,140,2.2,140.0367,1199,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
47587,酒田,サカタ,35,S,38,54.5,38.9083,139,50.6,139.8433,3.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35052,35955
0260,差首鍋,サスナベ,35,A,38,55.1,38.9183,140,12,140.2000,88,Y,Y,Y,Y,N,9999,99,99,,,,,,,35071,
0261,太平山,タイヘイザン,35,A,38,54.1,38.9017,140,23.1,140.3850,509,Y,N,N,N,N,1998,1,29,1998/1/29,,,,,,,
0262,金山,カネヤマ,35,A,38,52.7,38.8783,140,19.9,140.3317,170,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35116,35900
0263,鶴岡,ツルオカ,35,A,38,44.1,38.7350,139,49.7,139.8283,16,Y,Y,Y,Y,N,9999,99,99,,,,,,,35141,
0264,狩川,カリカワ,35,A,38,48,38.8000,139,58.4,139.9733,17,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35146,35905
47520,新庄,シンジヨウ,35,S,38,45.4,38.7567,140,18.7,140.3117,105.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35162,35907
0266,瀬見,セミ,35,A,38,45.3,38.7550,140,24.8,140.4133,150,Y,N,N,N,N,9999,99,99,,,,,,,35171,
0267,温海岳,アツミダケ,35,A,38,37.7,38.6283,139,37.8,139.6300,620,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0268,櫛引,クシビキ,35,A,38,40.3,38.6717,139,50.9,139.8483,33,Y,N,N,N,Y,9999,99,99,,,,,,,35201,35910
0269,月山,ガッサン,35,A,38,29.9,38.4983,140,6.1,140.1017,770,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0270,銀山,ギンザン,35,A,38,33.7,38.5617,140,31.6,140.5267,440,Y,N,N,N,N,2005,10,24,2005/10/24,,,,,,,
0271,楯岡,タテオカ,35,A,38,28.4,38.4733,140,23.9,140.3983,118,Y,Y,Y,Y,N,2002,6,4,2002/6/4,,,,,,,
0272,左沢,アテラザワ,35,A,38,22.2,38.3700,140,11.5,140.1917,133,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35376,35945
47588,山形,ヤマガタ,35,S,38,15.3,38.2550,140,20.7,140.3450,152.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35426,35927
0274,葉山,ハヤマ,35,A,38,9.7,38.1617,139,58.9,139.9817,970,Y,N,N,N,N,1984,10,1,1984/10/1,,,,,,,
0275,長井,ナガイ,35,A,38,6.3,38.1050,140,0.9,140.0150,210,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35456,35930
0276,蔵王山,ザオウサン,35,A,38,9.4,38.1567,140,26,140.4333,1660,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0277,小国,オグニ,35,A,38,4.7,38.0783,139,44.1,139.7350,140,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35486,35935
0278,高峰,タカミネ,35,A,37,59.9,37.9983,139,57.4,139.9567,250,Y,Y,Y,Y,N,9999,99,99,,,,,,,35541,
0279,米沢,ヨネザワ,35,A,37,54.7,37.9117,140,8.6,140.1433,245,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35552,35940
0280,西吾妻山,ニシアヅマヤマ,35,A,37,46,37.7667,140,8.3,140.1383,1530,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0910,向町,ムカイマチ,35,A,38,45.5,38.7583,140,31,140.5167,212,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35176,35950
1038,上草津,カミクサツ,35,A,38,59.7,38.9950,140,1.7,140.0283,178,Y,N,N,N,N,9999,99,99,,,,,,,35061,
1039,尾花沢,オバナザワ,35,A,38,36.5,38.6083,140,24.7,140.4117,106,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35231,35915
1040,鼠ケ関,ネズガセキ,35,A,38,34,38.5667,139,33.1,139.5517,18,Y,Y,Y,Y,N,9999,99,99,,,,,,,35246,
1103,山毛欅潰山,ブナツブレヤマ,35,A,37,54.7,37.9117,139,48.9,139.8150,890,Y,N,N,N,N,1980,10,20,1980/10/20,,,,,,,
1125,肘折,ヒジオリ,35,A,38,36.4,38.6067,140,9.8,140.1633,330,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35216,35920
1132,高畠,タカハタ,35,A,38,0.2,38.0033,140,12.4,140.2067,220,Y,Y,Y,Y,N,9999,99,99,,,,,,,35511,
1169,落合,オチアイ,35,A,38,36.3,38.6050,139,50.1,139.8350,99,Y,N,N,N,N,1977,11,2,1977/11/2,,,,,,,
1291,飛島,トビシマ,35,A,39,11,39.1833,139,32.6,139.5433,58,Y,Y,Y,Y,N,9999,99,99,,,,,,,35002,
1292,大井沢,オオイサワ,35,A,38,23.4,38.3900,139,59.6,139.9933,440,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35361,35925
1357,荒沢,アラサワ,35,A,38,30.4,38.5067,139,46.9,139.7817,273,Y,N,N,N,N,9999,99,99,,,,,,,35256,
1372,中津川,ナカツガワ,35,A,37,54.6,37.9100,139,50.6,139.8433,390,Y,N,N,N,N,9999,99,99,,,,,,,35537,
1428,白鷹山,シラタカヤマ,35,A,38,13.3,38.2217,140,11.1,140.1850,860,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
1465,浜中,ハマナカ,35,A,38,48.7,38.8117,139,47.2,139.7867,22,Y,Y,Y,N,N,9999,99,99,,,,,,,35086,
1488,東根,ヒガシネ,35,A,38,24.7,38.4117,140,22.2,140.3700,105,Y,Y,Y,N,N,9999,99,99,,,,,,,35334,
1539,村山,ムラヤマ,35,A,38,27.6,38.4600,140,20.9,140.3483,80,Y,Y,Y,Y,N,9999,99,99,,,,,,,35332,
1562,上山中山,カミノヤマナカヤマ,35,A,38,7,38.1167,140,12.8,140.2133,270,Y,N,N,N,N,9999,99,99,,,,,,,35466,
0295,浪江,ナミエ,36,A,37,29.5,37.4917,140,57.9,140.9650,47,Y,Y,Y,Y,N,9999,99,99,,,,,,,36411,
0304,小野新町,オノニイマチ,36,A,37,17.2,37.2867,140,37.5,140.6250,433,Y,Y,Y,Y,N,9999,99,99,,,,,,,36591,
1034,広野,ヒロノ,36,A,37,14,37.2333,141,0,141.0000,43,Y,Y,Y,Y,N,9999,99,99,,,,,,,36611,
1129,川内,カワウチ,36,A,37,20.2,37.3367,140,48.5,140.8083,410,Y,Y,Y,Y,N,9999,99,99,,,,,,,36501,
0285,相馬,ソウマ,36,A,37,47,37.7833,140,55.5,140.9250,9,Y,Y,Y,Y,N,9999,99,99,,,,,,,36151,
0299,郡山,コオリヤマ,36,A,37,22.1,37.3683,140,19.8,140.3300,249,Y,Y,Y,Y,N,9999,99,99,,,,,,,36476,
0281,梁川,ヤナガワ,36,A,37,51.1,37.8517,140,35.3,140.5883,43,Y,Y,Y,Y,N,9999,99,99,,,,,,,36066,
0282,稲荷峠,イナリトウゲ,36,A,37,45.4,37.7567,139,44.1,139.7350,800,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0283,吾妻山,アヅマヤマ,36,A,37,43.3,37.7217,140,16.5,140.2750,1300,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
47595,福島,フクシマ,36,S,37,45.5,37.7583,140,28.2,140.4700,67.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36126,36955
0286,喜多方,キタカタ,36,A,37,39.5,37.6583,139,51.8,139.8633,212,Y,Y,Y,Y,N,9999,99,99,,,,,,,36176,
0287,八木沢,ヤギサワ,36,A,37,41.8,37.6967,140,49.2,140.8200,540,Y,N,N,N,N,2005,3,31,2005/3/31,,,,,,,
0288,原町,ハラマチ,36,A,37,38.3,37.6383,140,59.1,140.9850,10,Y,N,N,N,N,9999,99,99,,,,,,,36231,
0289,飯谷山,イイタニヤマ,36,A,37,31.6,37.5267,139,41,139.6833,720,Y,N,N,N,N,2005,4,20,2005/4/20,,,,,,,
0290,猪苗代,イナワシロ,36,A,37,33.3,37.5550,140,7.3,140.1217,522,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36276,36910
0291,二本松,ニホンマツ,36,A,37,35,37.5833,140,25.8,140.4300,235,Y,Y,Y,Y,N,9999,99,99,,,,,,,36291,
0292,白馬石山,シラウマイシヤマ,36,A,37,34.8,37.5800,140,43.5,140.7250,640,Y,N,N,N,N,1981,10,26,1981/10/26,,,,,,,
47570,若松,ワカマツ,36,S,37,29.3,37.4883,139,54.6,139.9100,212.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36361,36923
0294,船引,フネヒキ,36,A,37,26.1,37.4350,140,34.6,140.5767,421,Y,Y,Y,Y,N,9999,99,99,,,,,,,36391,
0296,浅草岳,アサクサダケ,36,A,37,20.6,37.3433,139,14.2,139.2367,1520,Y,N,N,N,N,1977,10,14,1977/10/14,,,,,,,
0297,只見,タダミ,36,A,37,20.6,37.3433,139,18.8,139.3133,377,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36426,36915
0298,博士峠,ハカセトウゲ,36,A,37,20.4,37.3400,139,43.4,139.7233,1233,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0300,富岡,トミオカ,36,A,37,20.8,37.3467,141,1,141.0167,50,Y,N,N,N,N,9999,99,99,,,,,,,36511,
0301,南郷,ナンゴウ,36,A,37,15.9,37.2650,139,32.2,139.5367,494,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36536,36925
0302,駒止峠,コマドメトウゲ,36,A,37,12.6,37.2100,139,36.8,139.6133,1145,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0303,田島,タジマ,36,A,37,12.4,37.2067,139,47.7,139.7950,544,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36641,36935
0305,観音山,カンノンヤマ,36,A,37,11,37.1833,139,55.5,139.9250,1050,Y,N,N,N,N,1978,10,16,1978/10/16,,,,,,,
47597,白河,シラカワ,36,S,37,7.9,37.1317,140,12.9,140.2150,355,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36667,36937
0307,石川,イシカワ,36,A,37,8.8,37.1467,140,27.6,140.4600,290,Y,Y,Y,Y,N,9999,99,99,,,,,,,36676,
0308,山王峠,サンノウトウゲ,36,A,37,4.1,37.0683,139,43.9,139.7317,1080,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0309,大辷山,オオツベヤマ,36,A,37,4.8,37.0800,140,38.2,140.6367,688,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0310,平,タイラ,36,A,37,3.9,37.0650,140,52.6,140.8767,12,Y,N,N,N,N,9999,99,99,,,,,,,36781,
0311,田代山,タシロヤマ,36,A,36,58.8,36.9800,139,28.9,139.4817,1920,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0312,東白川,ヒガシシラカワ,36,A,36,56.3,36.9383,140,24.5,140.4083,183,Y,Y,Y,Y,N,9999,99,99,,,,,,,36821,
47598,小名浜,オナハマ,36,S,36,56.8,36.9467,140,54.2,140.9033,3.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36846,
1031,西会津,ニシアイヅ,36,A,37,35.3,37.5883,139,39.4,139.6567,165,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36251,36905
1044,金山,カネヤマ,36,A,37,28.4,37.4733,139,31.7,139.5283,296,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36342,36921
1116,鷲倉,ワシクラ,36,A,37,40.1,37.6683,140,15.6,140.2600,1220,Y,Y,Y,Y,N,9999,99,99,,,,,,,36196,
1127,上遠野,カトオノ,36,A,37,0.5,37.0083,140,44.2,140.7367,125,Y,Y,Y,Y,N,2009,3,16,2009/3/16,,,,,,,
1130,飯舘,イイタテ,36,A,37,41.7,37.6950,140,44.8,140.7467,446,Y,Y,Y,Y,N,9999,99,99,,,,,,,36221,
1150,津島,ツシマ,36,A,37,33.6,37.5600,140,45.2,140.7533,400,Y,N,N,N,N,9999,99,99,,,,,,,36307,
1268,長沼,ナガヌマ,36,A,37,17.3,37.2883,140,13.1,140.2183,317,Y,N,N,N,N,9999,99,99,,,,,,,36571,
1269,舘岩,タテイワ,36,A,37,5.5,37.0917,139,31.9,139.5317,690,Y,N,N,N,N,9999,99,99,,,,,,,36726,
1274,川前,カワマエ,36,A,37,12.4,37.2067,140,45,140.7500,287,Y,N,N,N,N,9999,99,99,,,,,,,36596,
1282,桧原,ヒバラ,36,A,37,43.3,37.7217,140,3.5,140.0583,824,Y,Y,Y,Y,N,9999,99,99,,,,,,,36106,
1293,茂庭,モニワ,36,A,37,53.5,37.8917,140,26.2,140.4367,200,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36056,36950
1294,湯本,ユモト,36,A,37,16.6,37.2767,140,3.8,140.0633,640,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36562,36945
1295,桧枝岐,ヒノエマタ,36,A,37,1.4,37.0233,139,23.2,139.3867,930,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36716,36940
1359,吉尾峠,ヨシオトウゲ,36,A,37,20.8,37.3467,139,33.4,139.5567,705,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
1364,六十里越,ロクジュウリゴエ,36,A,37,18.2,37.3033,139,13,139.2167,860,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
1386,湖南,コナン,36,A,37,23.3,37.3883,140,5.4,140.0900,536,Y,N,N,N,N,9999,99,99,,,,,,,36461,
1466,玉川,タマカワ,36,A,37,13.6,37.2267,140,25.6,140.4267,372,Y,Y,Y,N,N,9999,99,99,,,,,,,36581,
